publication_id,title,doi,pmcid,pmid,year,journal,authors,license,license_status,access_restriction_notes,redistribution_notes,source_url,pdf_url,fulltext_url,pdf_quality_notes,pdf_quality,corpus_topic,organism_model,exposure,selection_notes,inclusion_pass,exclusion_flags,ingestion_status,human_approval
pub_001,Spaceflight on the ISS changed the skeletal muscle proteome of two astronauts.,10.1038/s41526-024-00406-3,PMC11153545,38839773,2024,,"Murgia M, Rittweger J, Reggiani C, Bottinelli R, Mann M, Schiaffino S, Narici MV.",cc-by,approved_oa_candidate,Attribution (BY) required. Passages may be retrieved and quoted with citation and link to source.,Passage quoting with source link is allowed. Full-text redistribution or derivative works require attribution; do not remove copyright notices.,https://doi.org/10.1038/s41526-024-00406-3,https://europepmc.org/articles/PMC11153545?pdf=render,https://doi.org/10.1038/s41526-024-00406-3,"page_count=13, text_chars=81723, empty_pages=0, image_pages=0, text_density=6286.4; text layer present and dense",good,microgravity_skeletal_muscle,human,spaceflight,astronaut skeletal muscle proteome,yes,none,not_ingested,approved
pub_002,Genetic diversity modulates the physical and transcriptomic response of skeletal muscle to simulated microgravity in male mice.,10.1038/s41526-023-00334-8,PMC10692100,38040743,2023,,"Zeineddine Y, Friedman MA, Buettmann EG, Abraham LB, Hoppock GA, Donahue HJ.",cc-by,approved_oa_candidate,Attribution (BY) required. Passages may be retrieved and quoted with citation and link to source.,Passage quoting with source link is allowed. Full-text redistribution or derivative works require attribution; do not remove copyright notices.,https://doi.org/10.1038/s41526-023-00334-8,https://europepmc.org/articles/PMC10692100?pdf=render,https://doi.org/10.1038/s41526-023-00334-8,"page_count=12, text_chars=74825, empty_pages=0, image_pages=0, text_density=6235.4; text layer present and dense",good,microgravity_skeletal_muscle,mouse,simulated_microgravity,hindlimb unloading genetic diversity,yes,none,not_ingested,approved
pub_003,Simulated microgravity attenuates myogenesis and contractile function of 3D engineered skeletal muscle tissues.,10.1038/s41526-024-00353-z,PMC10873406,38365862,2024,,"Ren Z, Ahn EH, Do M, Mair DB, Monemianesfahani A, Lee PHU, Kim DH.",cc-by,approved_oa_candidate,Attribution (BY) required. Passages may be retrieved and quoted with citation and link to source.,Passage quoting with source link is allowed. Full-text redistribution or derivative works require attribution; do not remove copyright notices.,https://doi.org/10.1038/s41526-024-00353-z,https://europepmc.org/articles/PMC10873406?pdf=render,https://doi.org/10.1038/s41526-024-00353-z,"page_count=10, text_chars=53392, empty_pages=0, image_pages=0, text_density=5339.2; text layer present and dense",good,microgravity_skeletal_muscle,engineered_tissue,simulated_microgravity,3D engineered skeletal muscle,yes,none,not_ingested,approved
pub_004,Myeloid cell infiltration in skeletal muscle after combined hindlimb unloading and radiation exposure in mice.,10.1038/s41526-023-00289-w,PMC10247796,37286567,2023,,"Emanuelsson EB, Baselet B, Neefs M, Baatout S, Proesmans B, Daenen L, Sundberg CJ, Rundqvist H, Fernandez-Gonzalo R.",cc-by,approved_oa_candidate,Attribution (BY) required. Passages may be retrieved and quoted with citation and link to source.,Passage quoting with source link is allowed. Full-text redistribution or derivative works require attribution; do not remove copyright notices.,https://doi.org/10.1038/s41526-023-00289-w,https://www.nature.com/articles/s41526-023-00289-w.pdf,https://doi.org/10.1038/s41526-023-00289-w,"page_count=4, text_chars=20529, empty_pages=0, image_pages=0, text_density=5132.2; text layer present and dense",good,microgravity_skeletal_muscle,mouse,hindlimb_unloading_radiation,myeloid infiltration,yes,none,not_ingested,approved
pub_005,"Impacts of radiation exposure, hindlimb unloading, and recovery on murine skeletal muscle cell telomere length.",10.1038/s41526-023-00303-1,PMC10504369,37714858,2023,,"Tichy ED, Lee JH, Li G, Estep KN, Brad Johnson F, Mourkioti F.",cc-by,approved_oa_candidate,Attribution (BY) required. Passages may be retrieved and quoted with citation and link to source.,Passage quoting with source link is allowed. Full-text redistribution or derivative works require attribution; do not remove copyright notices.,https://doi.org/10.1038/s41526-023-00303-1,https://europepmc.org/articles/PMC10504369?pdf=render,https://doi.org/10.1038/s41526-023-00303-1,"page_count=11, text_chars=67087, empty_pages=0, image_pages=0, text_density=6098.8; text layer present and dense",good,microgravity_skeletal_muscle,mouse,hindlimb_unloading_radiation,telomere length,yes,none,not_ingested,approved
pub_006,Update on the effects of microgravity on the musculoskeletal system.,10.1038/s41526-021-00158-4,PMC8302614,34301942,2021,,"Juhl OJ, Buettmann EG, Friedman MA, DeNapoli RC, Hoppock GA, Donahue HJ.",cc-by,approved_oa_candidate,Attribution (BY) required. Passages may be retrieved and quoted with citation and link to source.,Passage quoting with source link is allowed. Full-text redistribution or derivative works require attribution; do not remove copyright notices.,https://doi.org/10.1038/s41526-021-00158-4,https://europepmc.org/articles/PMC8302614?pdf=render,https://doi.org/10.1038/s41526-021-00158-4,"page_count=15, text_chars=120942, empty_pages=0, image_pages=0, text_density=8062.8; text layer present and dense",good,microgravity_skeletal_muscle,multi,microgravity_review,musculoskeletal review,yes,none,not_ingested,approved
pub_007,Mechanisms and Countermeasures for Muscle Atrophy in Microgravity.,10.3390/cells13242120,PMC11727360,39768210,2024,,"Liu Y, Cao X, Zhou Q, Deng C, Yang Y, Huang D, Luo H, Zhang S, Li Y, Xu J, Chen H.",cc-by,approved_oa_candidate,Attribution (BY) required. Passages may be retrieved and quoted with citation and link to source.,Passage quoting with source link is allowed. Full-text redistribution or derivative works require attribution; do not remove copyright notices.,https://doi.org/10.3390/cells13242120,https://europepmc.org/articles/PMC11727360?pdf=render,https://doi.org/10.3390/cells13242120,"page_count=17, text_chars=77029, empty_pages=0, image_pages=0, text_density=4531.1; text layer present and dense",good,microgravity_skeletal_muscle,multi,microgravity_review,mechanisms and countermeasures,yes,none,not_ingested,approved
pub_008,Nitrosative Stress in Astronaut Skeletal Muscle in Spaceflight.,10.3390/antiox13040432,PMC11047620,38671880,2024,,"Blottner D, Moriggi M, Trautmann G, Furlan S, Block K, Gutsmann M, Torretta E, Barbacini P, Capitanio D, Rittweger J, Limper U, Volpe P, Gelfi C, Salanova M.",cc-by,approved_oa_candidate,Attribution (BY) required. Passages may be retrieved and quoted with citation and link to source.,Passage quoting with source link is allowed. Full-text redistribution or derivative works require attribution; do not remove copyright notices.,https://doi.org/10.3390/antiox13040432,https://europepmc.org/articles/PMC11047620?pdf=render,https://doi.org/10.3390/antiox13040432,"page_count=21, text_chars=75975, empty_pages=0, image_pages=0, text_density=3617.9; text layer present and dense",good,microgravity_skeletal_muscle,human,spaceflight,nitrosative stress astronaut muscle,yes,none,not_ingested,approved
pub_009,Molecular Signaling Effects behind the Spontaneous Soleus Muscle Activity Induced by 7-Day Rat Hindlimb Suspension.,10.3390/ijms25158316,PMC11312583,39125886,2024,,"Sergeeva XV, Sharlo KA, Tyganov SA, Kalashnikov VE, Shenkman BS.",cc-by,approved_oa_candidate,Attribution (BY) required. Passages may be retrieved and quoted with citation and link to source.,Passage quoting with source link is allowed. Full-text redistribution or derivative works require attribution; do not remove copyright notices.,https://doi.org/10.3390/ijms25158316,https://europepmc.org/articles/PMC11312583?pdf=render,https://doi.org/10.3390/ijms25158316,"page_count=14, text_chars=40907, empty_pages=0, image_pages=0, text_density=2921.9; text layer present and dense",good,microgravity_skeletal_muscle,rat,hindlimb_suspension,soleus spontaneous activity,yes,none,not_ingested,approved
pub_010,New Findings: Hindlimb Unloading Causes Nucleocytoplasmic Ca2+ Overload and DNA Damage in Skeletal Muscle.,10.3390/cells12071077,PMC10093444,37048150,2023,,"Yang H, Wang H, Pan F, Guo Y, Cao L, Yan W, Gao Y.",cc-by,approved_oa_candidate,Attribution (BY) required. Passages may be retrieved and quoted with citation and link to source.,Passage quoting with source link is allowed. Full-text redistribution or derivative works require attribution; do not remove copyright notices.,https://doi.org/10.3390/cells12071077,https://www.mdpi.com/2073-4409/12/7/1077/pdf?version=1680528954,https://doi.org/10.3390/cells12071077,"page_count=18, text_chars=62954, empty_pages=0, image_pages=0, text_density=3497.4; text layer present and dense",good,microgravity_skeletal_muscle,rodent,hindlimb_unloading,Ca2+ overload DNA damage,yes,none,not_ingested,approved
